number,freq,R,C0,Cq,q1000,Tmax,Rc/Rb,Resistor
NL0779,0.7,72.2,2.82,0.180,1211,83.7,1.39,8368
NL0783,0.6,72.6,2.86,0.180,1214,86.4,1.39,7607
NN1281,0.8,65.6,2.83,0.200,1220,87.2,1.42,7242
NN1282,0.9,65.9,2.92,0.200,1201,85.9,1.43,7634
NN1286,0.7,68.6,2.82,0.190,1200,84.2,1.38,7995
NN1287,0.8,66.6,2.82,0.200,1193,85.5,1.44,7593
NN1288,0.1,70.1,2.85,0.190,1213,85.4,1.42,7926
NN1289,1.3,69.9,2.91,0.200,1138,86.9,1.41,7182
NV1190,-0.6,63.7,3.03,0.200,1238,83.3,1.41,8547
NV1192,0.0,65.6,2.97,0.200,1227,83.9,1.43,8186
NV9808,-0.7,67.1,2.89,0.190,1229,84.9,1.36,8100
NV9811,-0.6,68.1,3.05,0.190,1206,85.4,1.40,7500
